"id","recipe_id","name","quantity","position","created_at","updated_at"
49141426,5122232,"パスタ","400g",1,"2018-06-14 12:49:12","2018-06-14 12:49:12"
49141427,5122232,"ベーコン","10枚",2,"2018-06-14 12:49:12","2018-06-14 12:49:12"
49141428,5122232,"しめじ","1袋",3,"2018-06-14 12:49:12","2018-06-14 12:49:12"
49141429,5122232,"オクラ","4本",4,"2018-06-14 12:49:12","2018-06-14 12:49:12"
49141430,5122232,"アスパラ","5本",5,"2018-06-14 12:49:12","2018-06-14 12:49:12"
49141431,5122232,"醤油","大さじ3",6,"2018-06-14 12:49:12","2018-06-14 12:49:12"
49141432,5122232,"塩こしょう","適量",7,"2018-06-14 12:49:12","2018-06-14 12:49:12"
49141433,5122232,"酒","大さじ2",8,"2018-06-14 12:49:12","2018-06-14 12:49:12"
49141434,5122232,"ほんだし","1/3本",9,"2018-06-14 12:49:12","2018-06-14 12:49:12"
